"Table 6.16A. Corporate Profits by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 20, 2009"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947"
"1","    Corporate profits with inventory valuation and capital consumption adjustments",10.7,7.4,2.8,-0.3,-0.3,2.4,3.9,6.0,6.9,4.8,6.4,9.6,15.3,20.4,24.7,24.8,20.2,17.9,23.5
"2","Domestic industries",10.4,7.2,2.8,-0.2,-0.3,2.3,3.7,5.9,6.6,4.5,6.1,9.4,14.9,20.1,24.4,24.4,19.9,17.2,22.5
"3","  Financial",1.6,0.7,0.5,0.6,0.8,0.5,0.5,0.9,0.8,0.9,0.9,1.1,1.1,1.2,1.3,1.6,1.6,2.1,1.7
"4","  Nonfinancial",8.9,6.6,2.3,-0.9,-1.0,1.8,3.2,5.1,5.8,3.6,5.2,8.3,13.7,18.9,23.0,22.8,18.2,15.2,20.8
"5","Rest of the world",0.2,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1.0
"6","    Corporate profits with inventory valuation adjustment",11.1,7.6,2.8,-0.4,-0.4,2.5,4.0,6.2,7.4,5.4,6.9,10.2,15.9,20.8,24.8,24.2,19.5,19.7,26.0
"7","Domestic industries",10.8,7.4,2.8,-0.4,-0.4,2.4,3.8,6.1,7.1,5.1,6.6,10.0,15.5,20.5,24.4,23.7,19.1,19.0,25.1
"8","  Financial",1.7,0.8,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1.0,1.0,1.1,1.2,1.4,1.5,1.7,1.8,2.2,1.9
"9","    Federal Reserve banks",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
"10","    Other",1.6,0.7,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.7,1.7,2.1,1.9
"11","  Nonfinancial",9.2,6.7,2.2,-1.1,-1.2,1.8,3.2,5.2,6.3,4.1,5.6,8.9,14.2,19.1,22.9,22.0,17.3,16.8,23.1
"12","    Manufacturing",5.2,3.9,1.3,-0.6,-0.4,1.0,2.0,3.1,3.8,2.3,3.3,5.5,9.5,11.8,13.8,13.2,9.7,9.0,13.5
"13","      Durable goods",2.6,1.4,-0.1,-1.1,-0.6,0.2,0.8,1.6,1.6,0.7,1.6,3.0,6.3,7.1,8.0,7.3,4.5,2.4,5.7
"14","      Nondurable goods",2.6,2.5,1.4,0.6,0.1,0.8,1.2,1.5,2.1,1.6,1.7,2.5,3.1,4.7,5.7,5.9,5.2,6.6,7.8
"15","    Transportation and public utilities",1.9,1.2,0.6,0.2,0.1,0.4,0.5,0.7,0.8,0.6,1.0,1.3,2.0,3.5,4.4,3.9,2.8,1.9,2.2
"16","    Wholesale trade and retail trade and automobile services",1.2,1.1,0.5,-0.1,-0.3,0.6,0.8,1.0,1.1,0.9,0.8,1.3,1.5,2.4,3.1,3.3,3.4,3.9,4.7
"17","    Other",0.9,0.5,-0.2,-0.6,-0.6,-0.1,0.0,0.4,0.6,0.4,0.5,0.8,1.2,1.5,1.7,1.6,1.5,2.1,2.7
"18","Rest of the world",0.2,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1.0
"Legend / Footnotes:"
"Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC)."
